Income,CreditScore,LoanAmount,Risk
60000,800,200000,Low
55000,780,250000,Low
70000,820,300000,Low
65000,790,150000,Low
58000,760,220000,Low
62000,770,180000,Low
75000,850,250000,Low
68000,810,270000,Low
59000,755,210000,Low
72000,830,190000,Low
40000,680,300000,Medium
35000,650,350000,Medium
45000,690,280000,Medium
38000,620,400000,Medium
42000,670,320000,Medium
39000,640,380000,Medium
47000,700,290000,Medium
36000,610,420000,Medium
44000,660,310000,Medium
41000,675,340000,Medium
15000,450,700000,High
18000,500,650000,High
12000,430,750000,High
20000,480,680000,High
17000,520,620000,High
14000,410,800000,High
22000,550,600000,High
16000,470,720000,High
19000,530,670000,High
13000,440,780000,High
61000,790,240000,Low
57000,770,230000,Low
64000,800,260000,Low
53000,750,210000,Low
69000,820,290000,Low
43000,660,330000,Medium
37000,630,370000,Medium
46000,700,300000,Medium
34000,610,410000,Medium
48000,690,280000,Medium
21000,540,610000,High
17500,495,690000,High
15500,460,710000,High
12500,420,790000,High
23000,560,580000,High
60500,785,205000,Low
41500,665,315000,Medium
18500,510,640000,High
66000,805,195000,Low
39500,645,360000,Medium
